U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:57.991
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.092
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.191
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.291
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.392
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.491
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.591
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.691
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.791
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.891
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:58.991
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.091
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.192
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.291
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.392
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.491
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.591
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.691
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.791
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.891
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:14:59.991
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.092
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.191
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.291
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.391
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.492
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.591
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.692
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.792
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.892
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:00.991
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.092
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.191
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.291
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.391
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.491
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.591
48,00V;0,00V;6,00A;0,00A;350W;0W;N/A;N/A;Off;Off;Off;None;13.01.2026 19:15:01.692
48,00V;20,51V;6,00A;1,07A;350W;30W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:01.792
48,00V;37,68V;6,00A;0,39A;350W;13W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:01.892
48,00V;46,57V;6,00A;0,09A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:01.991
48,00V;47,47V;6,00A;0,10A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.091
48,00V;47,94V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.191
48,00V;48,00V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.291
48,00V;48,00V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.392
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.492
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.591
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.691
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.792
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.891
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:02.991
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:03.091
